|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J0000.3-7355 |00 00 23.6|-73 55 19|    1.4206e-10|          2.6056e-11|                6.9052|PowerLaw        |                   |                            |           000|
|4FGL J0000.5+0743 |00 00 33.0|+07 43 38|    1.7304e-10|          3.6658e-11|                5.3687|PowerLaw        |                   |                            |           000|
|4FGL J0003.3+2511 |00 03 19.8|+25 11 28|    2.0100e-10|          3.6097e-11|                6.6644|PowerLaw        |                   |                            |           000|
|4FGL J0003.6+3059 |00 03 37.1|+30 59 23|    4.4164e-10|          5.1101e-11|               11.6590|LogParabola     |3FGL J0003.4+3100  |                            |           000|
|4FGL J0004.0+5715 |00 04 00.4|+57 15 28|    3.5766e-10|          5.0452e-11|                8.0073|PowerLaw        |3FGL J0003.5+5721  |                            |           000|
|4FGL J0004.4-4001 |00 04 28.4|-40 01 30|    2.3967e-10|          3.2653e-11|               10.3647|PowerLaw        |                   |                            |           000|
|4FGL J0005.6+6746c|00 05 39.7|+67 46 08|    3.8817e-10|          7.5349e-11|                4.8087|PowerLaw        |                   |                            |           056|
|4FGL J0006.6+4618 |00 06 40.7|+46 18 17|    1.3400e-10|          3.4840e-11|                4.7186|PowerLaw        |3FGL J0006.6+4618  |                            |           000|
|4FGL J0008.4+6926 |00 08 25.7|+69 26 27|    3.0854e-10|          6.1506e-11|                5.5894|PowerLaw        |                   |                            |           000|
|4FGL J0008.9+2509 |00 08 56.6|+25 09 13|    1.0375e-10|          2.9571e-11|                4.6768|PowerLaw        |                   |                            |           000|
|4FGL J0009.1-5012 |00 09 11.1|-50 12 39|    1.9955e-10|          3.1378e-11|                9.4102|PowerLaw        |                   |                            |           002|
|4FGL J0009.2+6847 |00 09 13.1|+68 47 36|    6.8548e-10|          9.4080e-11|                9.3079|LogParabola     |3FGL J0008.5+6853  |                            |           000|
|4FGL J0009.2+1745 |00 09 13.8|+17 45 16|    1.5813e-10|          3.3369e-11|                5.6089|PowerLaw        |                   |                            |           000|
|4FGL J0009.7-1418 |00 09 45.7|-14 18 16|    2.2475e-10|          3.3766e-11|                9.3440|PowerLaw        |3FGL J0010.5-1425  |                            |           000|
|4FGL J0010.2-2431 |00 10 14.4|-24 31 28|    1.0337e-10|          2.5825e-11|                4.8303|PowerLaw        |                   |                            |           000|
|4FGL J0017.1-4605 |00 17 11.4|-46 05 05|    9.9518e-11|          2.3334e-11|                6.4839|PowerLaw        |                   |                            |           016|
|4FGL J0022.0-5921 |00 22 05.2|-59 21 00|    2.3472e-10|          3.2149e-11|                9.5404|PowerLaw        |                   |                            |           000|
|4FGL J0023.6-4209 |00 23 37.8|-42 09 28|    1.1095e-10|          2.6150e-11|                5.1129|PowerLaw        |                   |                            |           256|
|4FGL J0024.1+2402 |00 24 09.2|+24 02 12|    2.1031e-10|          3.3036e-11|                8.7498|PowerLaw        |                   |                            |           000|
|4FGL J0025.4-4838 |00 25 28.2|-48 38 19|    1.8248e-10|          3.0435e-11|                8.1055|PowerLaw        |                   |                            |           016|
|4FGL J0025.5-5936 |00 25 30.5|-59 36 16|    1.3584e-10|          2.8687e-11|                5.1829|PowerLaw        |                   |                            |           272|
|4FGL J0026.1-0732 |00 26 09.6|-07 32 33|    1.5005e-10|          3.3141e-11|                6.5591|PowerLaw        |                   |                            |           000|
|4FGL J0030.6+0539 |00 30 39.4|+05 39 44|    1.3959e-10|          4.0792e-11|                4.8837|PowerLaw        |                   |                            |           016|
|4FGL J0030.9-3618 |00 30 55.0|-36 18 37|    7.8145e-11|          2.5188e-11|                4.2784|PowerLaw        |                   |                            |           004|
|4FGL J0031.0-2327 |00 31 01.5|-23 27 29|    2.2836e-10|          3.8115e-11|                8.3743|LogParabola     |3FGL J0031.2-2320  |                            |           000|
|4FGL J0031.5-5648 |00 31 35.7|-56 48 25|    1.3885e-10|          2.7932e-11|                6.0124|PowerLaw        |                   |                            |           000|
|4FGL J0032.3-5539 |00 32 23.3|-55 39 51|    3.2104e-11|          2.0793e-11|                5.0985|PowerLaw        |                   |                            |           000|
|4FGL J0034.6+6438 |00 34 38.9|+64 38 21|    5.5716e-10|          7.5665e-11|                7.9384|PowerLaw        |                   |                            |           000|
|4FGL J0035.2-1739 |00 35 16.2|-17 39 44|    8.2540e-11|          2.5008e-11|                5.4491|PowerLaw        |                   |                            |           000|
|4FGL J0037.2-2653 |00 37 15.4|-26 53 34|    7.9564e-11|          2.3660e-11|                3.5322|PowerLaw        |                   |                            |          4352|
|4FGL J0039.1+6257 |00 39 08.7|+62 57 37|    1.9824e-09|          1.1322e-10|               23.2985|LogParabola     |3FGL J0039.3+6256  |                            |           000|
|4FGL J0039.7+4203 |00 39 45.9|+42 03 55|    1.3980e-10|          2.9689e-11|                5.2133|PowerLaw        |                   |                            |           000|
|4FGL J0040.2-2725 |00 40 14.8|-27 25 42|    9.3767e-11|          2.3613e-11|                4.7303|PowerLaw        |                   |                            |           000|
|4FGL J0040.7-7157 |00 40 46.1|-71 57 57|    1.8361e-10|          3.1230e-11|                8.1026|PowerLaw        |                   |                            |           000|
|4FGL J0045.8-1324 |00 45 53.2|-13 24 10|    8.6606e-11|          2.4304e-11|                4.8808|PowerLaw        |                   |                            |           000|
|4FGL J0045.9-2021 |00 45 56.6|-20 21 55|    1.3735e-10|          2.8432e-11|                6.9477|PowerLaw        |                   |                            |           000|
|4FGL J0046.7-7048 |00 46 43.3|-70 48 49|    9.0493e-11|          2.5061e-11|                4.1783|PowerLaw        |                   |                            |           000|
|4FGL J0048.6-6347 |00 48 40.4|-63 47 29|    4.2914e-10|          4.2015e-11|               15.8056|LogParabola     |3FGL J0048.1-6343  |                            |           000|
|4FGL J0052.1+6444 |00 52 10.4|+64 44 31|    5.5667e-10|          7.6651e-11|                7.6532|PowerLaw        |3FGL J0051.6+6445  |                            |           000|
|4FGL J0054.4-1503 |00 54 29.1|-15 03 26|    6.2086e-11|          2.2960e-11|                5.5377|LogParabola     |                   |                            |           000|
|4FGL J0055.7+4507 |00 55 45.5|+45 07 28|    5.3630e-11|          2.1761e-11|                3.3873|PowerLaw        |                   |                            |          4096|
|4FGL J0057.5+6814 |00 57 31.0|+68 14 10|    2.1700e-10|          5.3133e-11|                3.7099|PowerLaw        |                   |                            |          4120|
|4FGL J0057.9+6326 |00 57 58.9|+63 26 19|    2.3568e-10|          5.7928e-11|                9.0178|PowerLaw        |                   |                            |           000|
|4FGL J0058.1+6915 |00 58 11.2|+69 15 39|    2.5485e-10|          5.1380e-11|                4.9204|PowerLaw        |                   |                            |           008|
|4FGL J0058.3-4603 |00 58 21.7|-46 03 22|    8.3185e-11|          2.2312e-11|                4.6055|PowerLaw        |                   |                            |           000|
|4FGL J0059.4-5654 |00 59 27.4|-56 54 32|    5.5898e-10|          4.5049e-11|               19.0561|LogParabola     |3FGL J0059.1-5701  |                            |           000|
|4FGL J0102.0-6240 |01 02 02.2|-62 40 55|    1.1041e-10|          2.5742e-11|                5.8116|PowerLaw        |                   |                            |           000|
|4FGL J0102.1+4458 |01 02 10.8|+44 58 05|    1.3172e-10|          3.1466e-11|                4.9578|PowerLaw        |3FGL J0102.1+4458  |                            |           000|
|4FGL J0102.3+1000 |01 02 23.8|+10 00 43|    2.2388e-10|          4.3808e-11|                8.0374|PowerLaw        |                   |                            |           000|
|4FGL J0104.6-0818 |01 04 39.8|-08 18 45|    1.2581e-10|          3.2224e-11|                4.1830|PowerLaw        |                   |                            |           000|
|4FGL J0106.1+1131 |01 06 10.7|+11 31 40|    1.1375e-10|          3.0171e-11|                4.5543|PowerLaw        |                   |                            |           000|
|4FGL J0112.0+3442 |01 12 03.1|+34 42 10|    1.3191e-10|          2.9167e-11|                5.1268|PowerLaw        |                   |                            |           001|
|4FGL J0211.5+6219 |02 11 36.0|+62 19 24|    4.6790e-10|          7.5480e-11|                6.1803|PowerLaw        |                   |                            |           012|
|4FGL J0115.4-2917 |01 15 26.0|-29 17 36|    9.6309e-11|          2.5752e-11|                5.5404|PowerLaw        |                   |                            |           004|
|4FGL J0116.8+6914 |01 16 48.5|+69 14 29|    2.7427e-10|          7.2463e-11|                6.8038|LogParabola     |3FGL J0116.8+6913  |                            |           000|
|4FGL J0118.3-6008 |01 18 21.3|-60 08 33|    1.6341e-10|          2.6279e-11|                8.3306|PowerLaw        |                   |                            |           000|
|4FGL J0120.1+0505 |01 20 10.9|+05 05 28|    1.0476e-10|          2.8817e-11|                4.0801|PowerLaw        |                   |                            |           000|
|4FGL J0120.2-7944 |01 20 13.7|-79 44 28|    1.2581e-10|          5.4494e-11|                5.1850|PowerLaw        |                   |                            |           004|
