loc_rowid,pl_name,discoverymethod,disc_year,disc_facility,pl_orbper,pl_bmasse
1,11 Com b,Radial Velocity,2007,Xinglong Station,326.03,6165.6
2,11 Com b,Radial Velocity,2007,Xinglong Station,,5434.7
3,11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,,3432.4
4,11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.22,3337.07
5,11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,4684.8142
6,14 And b,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,1525.5
7,14 And b,Radial Velocity,2008,Okayama Astrophysical Observatory,,1017
8,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1796.4,1506.45
9,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,,1440.663
10,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,1481.0878
11,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1773.4,1474.67
12,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1724,1554.12
13,14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1766,1581.138
14,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,800.8,476.7
15,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,799.5,533.93
16,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,798.5,533.9544
17,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,799.5,533.93
18,16 Cyg B b,Radial Velocity,1996,Multiple Observatories,798.5,565.7374
19,18 Del b,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,3273.5
20,18 Del b,Radial Velocity,2008,Okayama Astrophysical Observatory,,3127.3
21,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,2543
22,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,3000
23,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,4000
24,1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,,3000
25,24 Boo b,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,289.2253
26,24 Sex b,Radial Velocity,2010,Lick Observatory,452.8,632.46
27,24 Sex c,Radial Velocity,2010,Lick Observatory,883,273.32
28,2MASS J01033563-5515561 AB b,Imaging,2013,Paranal Observatory,,4131.79
29,2MASS J01225093-2439505 b,Imaging,2013,W. M. Keck Observatory,,
30,2MASS J01225093-2439505 b,Imaging,2013,W. M. Keck Observatory,,7786.5
31,2MASS J02192210-3925225 b,Imaging,2015,Cerro Tololo Inter-American Observatory,,4417.837
32,2MASS J04414489+2301513 b,Imaging,2010,Hubble Space Telescope,,2383.6
33,2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,,1589.15
34,2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,,1271
35,2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,Kepler,416,603.877
36,2MASS J21402931+1625183 A b,Imaging,2009,W. M. Keck Observatory,7336.5,6657.48
37,2MASS J22362452+4751425 b,Imaging,2016,W. M. Keck Observatory,,3972.875
38,30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,4392.4106
39,30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,345.4,2097.678
40,30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,3140.03
41,4 UMa b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,2256.5
42,42 Dra b,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,1233.13
43,47 UMa b,Radial Velocity,1996,Lick Observatory,1083.2,826.32
44,47 UMa b,Radial Velocity,1996,Lick Observatory,1100.8,877.17
45,47 UMa b,Radial Velocity,1996,Lick Observatory,1076.6,778.6835
46,47 UMa b,Radial Velocity,1996,Lick Observatory,1078,804.08
47,47 UMa c,Radial Velocity,2001,Lick Observatory,7586,425.87
48,47 UMa c,Radial Velocity,2001,Lick Observatory,2391,171.621
49,47 UMa d,Radial Velocity,2009,Lick Observatory,14002,521.22
50,51 Eri b,Imaging,2015,Gemini Observatory,11688,
51,51 Eri b,Imaging,2015,Gemini Observatory,14965,
52,51 Eri b,Imaging,2015,Gemini Observatory,,635.66
53,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.2293,149.3801
54,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.231,146.2018
55,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.23077,148.738
56,51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.230785,150.009
57,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.648,266.9772
58,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65152,263.9785
59,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.653,266.9772
60,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65162,261.881
61,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.651,254.25
62,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.6,254.25
63,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.465314,266.966
64,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.67,249.17872
65,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65126,260.61
66,55 Cnc b,Radial Velocity,1996,Lick Observatory,14.647,289.21
67,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.373,56.6985
68,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.4175,54.4738
69,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3446,53.711
70,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3787,52.44
71,55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.38,52.44
72,55 Cnc c,Radial Velocity,2004,McDonald Observatory,43.93,68.96911
73,55 Cnc d,Radial Velocity,2002,Lick Observatory,4825,1232.493
74,55 Cnc d,Radial Velocity,2002,Lick Observatory,4517.4,1243.35096
75,55 Cnc d,Radial Velocity,2002,Lick Observatory,5360,1287.2115
76,55 Cnc d,Radial Velocity,2002,Lick Observatory,4867,1226.77
77,55 Cnc d,Radial Velocity,2002,Lick Observatory,4545,918.49
78,55 Cnc d,Radial Velocity,2002,Lick Observatory,5218,1218.827
79,55 Cnc d,Radial Velocity,2002,Lick Observatory,5370,1220.42
80,55 Cnc d,Radial Velocity,2002,Lick Observatory,4909,1121.89
81,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365437,7.81
82,55 Cnc e,Radial Velocity,2004,McDonald Observatory,2.79674,7.4687
83,55 Cnc e,Radial Velocity,2004,McDonald Observatory,2.808,14.30235
84,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.73654,8.63
85,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365515,8.13928
86,55 Cnc e,Radial Velocity,2004,McDonald Observatory,,8.08
87,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.737,7.74
88,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365417,
89,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736546,8.37
90,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736539,8.08
91,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365478,8.09479
92,55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736545,
93,55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.91,47.0051
94,55 Cnc f,Radial Velocity,2007,Multiple Observatories,262,44.812
95,55 Cnc f,Radial Velocity,2007,Multiple Observatories,260,45.766
96,55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.7,44.812
97,55 Cnc f,Radial Velocity,2007,Multiple Observatories,261.2,54.664
98,6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,899,762.8
99,6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,638.8383
100,6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,874.774,702.4043
101,61 Vir b,Radial Velocity,2009,Multiple Observatories,4.215,5.1
102,61 Vir c,Radial Velocity,2009,Multiple Observatories,38.021,18.2
103,61 Vir d,Radial Velocity,2009,Multiple Observatories,123.01,22.9
104,7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,796,781.8618
105,7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,763,826.3
106,7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,735.1,587.9855
107,7 CMa c,Radial Velocity,2019,Multiple Observatories,996,276.5121
108,70 Vir b,Radial Velocity,1996,Lick Observatory,116.688,2357.02728
109,70 Vir b,Radial Velocity,1996,Lick Observatory,116.6884,2380.45
110,70 Vir b,Radial Velocity,1996,Lick Observatory,116.6926,2351.942
111,70 Vir b,Radial Velocity,1996,Lick Observatory,116.6884,2421.8646
112,70 Vir b,Radial Velocity,1996,Lick Observatory,116.689,2084.88
113,75 Cet b,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,953.49
114,8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,416.3573
115,8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,476.745
116,81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,,1274.4
117,81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,1684.4
118,91 Aqr b,Radial Velocity,2013,Lick Observatory,181.4,1017
119,AB Pic b,Imaging,2005,Paranal Observatory,,4290.5
120,AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46321,57.2094
121,BD+03 2562 b,Radial Velocity,2017,Multiple Observatories,481.9,2034.112
122,BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,467.19
123,BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,330.5432
124,BD+15 2375 b,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,337.21763
125,BD+15 2940 b,Radial Velocity,2013,McDonald Observatory,137.48,352.78
126,BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,6807.63
127,BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,17668.1697
128,BD+20 2457 c,Radial Velocity,2009,McDonald Observatory,621.99,3963.17
129,BD+20 274 b,Radial Velocity,2012,McDonald Observatory,578.2,1334.886
130,BD+20 594 b,Transit,2016,K2,41.6855,16.3
131,BD+20 594 b,Transit,2016,K2,41.6855,22.2481
132,BD+20 594 b,Transit,2016,K2,41.688644,
133,BD+20 594 b,Transit,2016,K2,41.688644,
134,BD+48 738 b,Radial Velocity,2011,McDonald Observatory,392.6,289.2253
135,BD+48 740 b,Radial Velocity,2018,Multiple Observatories,733,540.311
136,BD+49 828 b,Radial Velocity,2015,McDonald Observatory,2590,508.5
137,BD-06 1339 b,Radial Velocity,2013,La Silla Observatory,3.8728,8.5
138,BD-06 1339 c,Radial Velocity,2013,La Silla Observatory,125.94,53
139,BD-08 2823 b,Radial Velocity,2009,La Silla Observatory,5.6,14.4
140,BD-08 2823 b,Radial Velocity,2009,La Silla Observatory,5.6,12.7132
141,BD-08 2823 c,Radial Velocity,2009,La Silla Observatory,237.6,104
142,BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.48777,145.56
143,BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.487,152.55
144,BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.48777,187.5197
145,BD-11 4672 b,Radial Velocity,2014,La Silla Observatory,1667,168.44
146,BD-11 4672 b,Radial Velocity,2014,La Silla Observatory,1634,206.5895
147,BD-11 4672 c,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,15.37
148,BD-13 2130 b,Radial Velocity,2007,La Silla Observatory,714.3,3368.998
149,BD-13 2130 b,Radial Velocity,2007,La Silla Observatory,714.29999,3108.3774
150,BD-17 63 b,Radial Velocity,2008,La Silla Observatory,655.59998,905.8155
151,BD-17 63 b,Radial Velocity,2008,La Silla Observatory,655.6,1620.9
152,CFBDSIR J145829+101343 b,Imaging,2011,W. M. Keck Observatory,10037.5,3337.1
153,CHXR 73 b,Imaging,2006,Hubble Space Telescope,,3994.486
154,CI Tau b,Radial Velocity,2019,Multiple Observatories,8.9891,3686.828
155,CT Cha b,Imaging,2007,Paranal Observatory,,5403
156,CoRoT-1 b,Transit,2008,CoRoT,1.50897655,340.0781
157,CoRoT-1 b,Transit,2008,CoRoT,1.5089686,327.3649
158,CoRoT-1 b,Transit,2008,CoRoT,1.5089682,390.9309
159,CoRoT-1 b,Transit,2008,CoRoT,1.5089557,359.1479
160,CoRoT-1 b,Transit,2008,CoRoT,1.5089557,327.35
161,CoRoT-10 b,Transit,2010,CoRoT,13.2406,883.5674
162,CoRoT-10 b,Transit,2010,CoRoT,13.2406,874
163,CoRoT-10 b,Transit,2010,CoRoT,13.2406,867.6759
164,CoRoT-11 b,Transit,2010,CoRoT,,
165,CoRoT-11 b,Transit,2010,CoRoT,2.994325,832.7146
166,CoRoT-11 b,Transit,2010,CoRoT,2.99433,740.51
167,CoRoT-11 b,Transit,2010,CoRoT,2.99433,743.7222
