Waterbody Type,Segment ID,Waterbody Index Number (WIN),Name,Description,Basin,Segment Miles,6NYCRR Chapter X Part,Water Quality Class
Ponds,0601-0104,SR-183-P335,Fox Vly,entire lake,Susquehanna River,,931,C
Ponds,0602-0018,SR- 44-14-60-P68,Tully Lake,entire lake,Susquehanna River,,931,B
Ponds,1101-0012,H-299-P27,Saratoga Lake,entire lake,Upper Hudson River,,941,A
Ponds,1203-0064,H-240-180-74-P850a,The Floe,entire lake,Mohawk River,,880,C(T)
Ponds,1401-0045,D-10-15-P100,Cliff Lake,entire lake,Delaware River,,815,B
Ponds,0902-0142,SL(C)-32-51-P175,Black Pond,entire lake,St. Lawrence River,,910,AA
Ponds,1004-0061,C- 25-26- 4-P224,Slush Pond,entire lake,Lake Champlain,,830,C(T)
Ponds,1103-0021,H-301-20-11-P87,Smith Pond,entire lake,Upper Hudson River,,941,C
Estuary,1701-0004,(MW1.1)  LB,Lower New York Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,890,SB
Estuary,1701-0005,(MW8.5)  JB,"Jamaica Bay, Eastern, and tribs (Queens)",portion of bay and selected tidal tribs within Queens,Atlantic Ocean/Long Island Soun,,891,SB
Estuary,1701-0006,(MW8.6a) JB-249a,Hendrix Creek,entire creek/basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0007,(MW8.5a) JB-248,Hawtree Basin,entire basin,Atlantic Ocean/Long Island Soun,,891,I
Estuary,1701-0011,(MW1.3)  UB-EB-  1,Gowanus Canal,entire canal,Atlantic Ocean/Long Island Soun,,890,SD
Estuary,1701-0022,(MW1.3)  UB,Upper New York Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,890,I
Estuary,1701-0030,(MW6.1e) FB,"Flanders Bay, East/Center, and tribs","entire bay, as described below",Atlantic Ocean/Long Island Soun,,921,SA
Estuary,1701-0031,(MW6.3h) BIS..P761,Lake Montauk,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0032,(MW8.4)  HB,Hempstead Bay,entire bay,Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1701-0033,(MW7.1b) AO-SB,Shinnecock Bay (and Inlet),entire bay (including inlet),Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0034,(MW7.1b) AO-P790,Mecox Bay and tribs,entire bay and selected/smaller tidal tribs,Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0035,"(MW6.3e) GB-SIS-SHB,SHC",Sag Harbor and Sag Harbor Cove,entire harbor and cove,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0036,(MW6.3f) GB-TMH,Three Mile Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0037,(MW6.3c) GB..LPB-123-P659,North Sea Harbor and tribs,entire harbor and selected/smaller tidal tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0039,(MW7.3)  AO-GSB (portion 1),"Great South Bay, East","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,922,SA
Estuary,1701-0040,(MW7.3)  AO-GSB (portion 2),"Great South Bay, Middle","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1701-0042,(MW7.1c) AO-QB,Quantuck Bay,entire bay,Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0044,(MW6.1b) GB-SIS(-SB),Southold Bay,entire bay,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0046,(MW6.3f) GB-SIS-NH-136,Northwest Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0047,(MW6.3f) GB-AH,Acabonack Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0049,(MW6.1b) GB-SIS- 78,Stirling Creek and Basin,entire basin,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0050,(MW6.1b) GB-SIS(-DH),Dering Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,924,SA
Ponds,0104-0071,Ont 158..E-23-65-P149,Hiram Lake,entire lake,Niagara River/Lake Erie,,838,B
Estuary,1701-0112,(MW7.1b) AO-SB-TB,Tiana Bay and tidal tribs,entire bay and tidal tribs,Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0127,(MW6.3b) GB..GPB-121/P647,Cold Spring Pond and tribs,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0132,(MW6.3d) GB-SIS-SI-9-WNH,West Neck Harbor,entire harbor,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0145,(MW7.1a) AO-P780,Georgica Pond,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0162,(MW6.1b) GB-SIS-P420,Hashamomuck Pond,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0163,(MW6.1a) GB-CI,Coecles Harbor,entire inlet,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0164,(MW6.1a) GB,Gardiners Bay and minor tidal tribs,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0165,(MW6.1d) GB..GPB,Great Peconic Bay and minor coves,entire bay and selected/smaller tidal tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0166,(MW6.3h) BIS-NB-NH,Napeague Harbor and tidal tribs,entire harbor and tidal tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0167,(MW6.3d) GB-SIS(-NB),Noyack Bay,entire bay,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0168,(MW6.1a) GB-OH,Orient Harbor and minor tidal tribs,entire harbor and selected/smaller tidal tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0169,(MW6.3h) BIS..P764,Oyster Pond/Lake Munchogue,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0173,(MW7.3)  AO-GSB (portion 3),"Great South Bay, West","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,925,SA
Estuary,1701-0178,(MW8.6a) JB-250b,Mill Basin and tidal tribs,entire basin and tidal tribs,Atlantic Ocean/Long Island Soun,,891,SB
Estuary,1701-0181,(MW1.2)  RB (portion 3),Raritan Bay (Class I),"portion of bay, as described below",Atlantic Ocean/Long Island Soun,,890,I
Estuary,1701-0193,(MW8.6a) JB-251,Gerritsen Creek and tidal tribs,entire basin and tidal tribs,Atlantic Ocean/Long Island Soun,,891,SB
Estuary,1701-0200,(MW8.1a) SOB-217 thru 223 (select),LI Tidal Tribs to South Oyster Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1701-0202,(MW8.2)  EB,East Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1701-0208,(MW8.3)  MDB,Middle Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1701-0210,(MW8.3a) MDB-228 thru 232 (select),LI Tidal Tribs to Middle Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1701-0214,"(MW8.3)  MDB-LC,BB,PC",Long Creek/Baldwin Bay/Parsonage Cove,total area of channel/bay/cove,Atlantic Ocean/Long Island Soun,,885,SB
Estuary,1701-0215,(MW8.3)  MDB-RC,"Reynolds Channel, east","channel, from Jones Inlet to Long Beach Blvd",Atlantic Ocean/Long Island Soun,,885,SA
Estuary,1701-0216,(MW8.4)  HB-RC (portion 2),"Reynolds Channel, west","channel, from Long Beach Blvd to Atlantic Beach Bridge",Atlantic Ocean/Long Island Soun,,891,SB
Estuary,1701-0218,(MW8.4a) HB-232 thru 237,LI Tidal Tribs to Hempstead Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1701-0220,(MW8.4)  HB-HIC,Hog Island Channel,entire channel,Atlantic Ocean/Long Island Soun,,885,SB
Estuary,1701-0224,(MW8.5a) JB-238 thru 241 (selected,LI Tidal Tribs to Jamaica Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,885,SC
Estuary,1701-0227,(MW6.1a) GB-LBB,Hallock/Long Beach Bay and tidal tribs,entire bay and tidal tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0234,(MW6.1b) GB-SIS- 80c-P418a,Budds Pond,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0235,"(MW6.1b) GB-SIS- 83a,83b",Town/Jockey Creeks and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0236,(MW6.1b) GB-SIS- 84-P423,Goose Creek,entire tidal waterbody,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0237,(MW6.3d) GB-SIS-126,Noyack Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0240,(MW6.1b) GB-SIS-SI-1-P431,Crab Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SC
Estuary,1701-0242,(MW6.3d) GB-SIS-SI-8 thru 9,"Dickerson, Menantic, West Neck Creeks",total area of all three tidal streams,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0244,(MW6.1c) GB..LPB- 89,Corey Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Ponds,0202-0004,Pa-84- 2-P153,Findley Lake,entire lake,Allegheny River,,800,B
Estuary,1701-0245,(MW6.1c) GB..LPB- 90,Richmond Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0247,(MW6.1d) GB..GPB- 97 thru 104,"Tidal Tribs to Gr Peconic Bay, Northshr",total tidal portions of selected tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0250,(MW6.3b) GB..GPB-118/P644,Red Creek Pond and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0253,(MW6.3b) GB..GPB-122a-P651,Little Sebonac Creek,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0254,"(MW6.1e) GB..FB,FB-111","Flanders Bay, West/Lower Sawmill Creek","entire bay, as described below",Atlantic Ocean/Long Island Soun,,921,SC
Estuary,1701-0255,(MW6.1e) GB..FB-105 thru 109,"Tidal Tribs to Flanders Bay, North Shore",total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,921,SC
Estuary,1701-0256,(MW6.1e) GB..FB-110,Meetinghouse/Terrys Creeks and tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,921,SC
Estuary,1701-0259,(MW6.2)  GB..FB-112 (portion 1),"Peconic River, Lower, and tidal tribs",reach and tribs from mouth to Peconic Ave Dam (tidal),Atlantic Ocean/Long Island Soun,,921,SC
Estuary,1701-0273,(MW6.3a) GB..FB-114 thru 117,"Tidal Tribs to Flanders Bay, South Shore",total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,921,SC
Estuary,1701-0275,(MW6.3f) GB-SIS-NH-137/P726,Alewife Brook/Pond,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SC
Estuary,1701-0277,(MW6.3f) GB-140/P729,Hog Creek and tidal tribs,entire tidal reach and tribs,Atlantic Ocean/Long Island Soun,,924,SA
Estuary,1701-0282,(MW6.3h) BIS-GI-P712 thru P747,Tidal Tribs on Gardners Island,total area of all tidal waters on the island,Atlantic Ocean/Long Island Soun,,924,SC
Estuary,1701-0294,"(MW7.1b) AO-SB-143,144",Heady and Taylor Creeks and tribs,total length of both streams and tribs,Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0295,(MW7.1b) AO-SB-145 thru 146a,"Old Fort, Middle, and Far Ponds",total area of all three ponds,Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0296,(MW7.1b) AO-SB-120,"Shinnecock Canal, south end, and tribs","canal, from Shinnecock Bay to locks and tribs",Atlantic Ocean/Long Island Soun,,924,SC
Estuary,1701-0298,(MW7.1b) AO-SB-148 thru 150,"Penny Pond, Wells and Smith Creeks",total area of both waters,Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0301,(MW7.1b) AO-SB-QgC,Quogue Canal,"entire canal, between Shinnecock Bay and Quantuck Bay",Atlantic Ocean/Long Island Soun,,923,SA
Estuary,1701-0303,(MW7.1c) AO-SB-QB-157 thru 160(sel),Tidal Tribs to Quantuck Bay/Canal,total area of selected (Class SC) tribs to bay/canal,Atlantic Ocean/Long Island Soun,,923,SC
Estuary,1701-0305,(MW7.2a) AO-MB (portion 1),"Moriches Bay, East","portion of bay, as described below",Atlantic Ocean/Long Island Soun,,920,SA
Estuary,1701-0306,(MW7.2a) AO-MB-160a thru 168 (sel.),Tidal Tribs to East Moriches Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,920,SC
Estuary,1701-0309,(MW7.2a) AO-MB (portion 3),"Tuthill, Harts, Seatuck Coves",total area of all three coves,Atlantic Ocean/Long Island Soun,,920,SA
Estuary,1701-0312,(MW7.2a) AO-MB-168a thru 175 (sel.),Tidal tribs to West Moriches Bay,total area of selected tidal tribs to coves,Atlantic Ocean/Long Island Soun,,920,SC
Estuary,1701-0316,(MW7.2a) AO-MB (portion 4),"Forge River, Lower and Cove",reach from mouth to Ely Creek (Class SA portion),Atlantic Ocean/Long Island Soun,,920,SA
Estuary,1701-0318,(MW7.2b) AO-MB-NB,Narrow Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,920,SA
Estuary,1701-0320,(MW7.3)  AO-GSB (portion 4),Bellport Bay,"entire bay, as described below",Atlantic Ocean/Long Island Soun,,922,SA
Estuary,1701-0321,(MW7.4)  AO-GSB-177,"Carmans River, Lower, and tribs",reach and tribs from mouth to LIRR (tidal),Atlantic Ocean/Long Island Soun,,922,SC
Estuary,1701-0324,"(MW7.5)  AO-GSB-178,179","Beaverdam/Motts Creeks, Lower, and tribs",total area of lower/tidal portions of both streams,Atlantic Ocean/Long Island Soun,,922,SC
Estuary,1701-0327,(MW7.5)  AO-GSB-180 thru 188 (sel.),Tidal Tribs to Patchogue Bay,total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,922,SC
Estuary,1701-0333,(MW7.5)  AO-GSB-188a thru 192 (sel),"Tidal Tribs to Great South Bay, Middle",total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,925,SC
Estuary,1701-0338,(MW7.8)  AO-GSB-193a thru 204 (sel),"Tidal Tribs to Great South Bay, Middle",total area of selected tidal tribs to bay,Atlantic Ocean/Long Island Soun,,925,SC
